Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-08-21 16:34:33.645000,4413.5483871,0,4450.96774194,0,4684.83870968,0,4120.64516129,0,4460.32258065,0,4468.70967742,0,4255.48387097,0,4235.80645161,0,4903.87096774,0,4494.51612903,0,4267.41935484,0,4788.38709677,0,5247.09677419,0,4438.70967742,0,0,0,?
2018-08-21 16:34:33.657000,4377.74193548,0,4400.0,0,4649.35483871,0,4036.12903226,0,4444.19354839,0,4364.51612903,0,4230.32258065,0,4199.67741935,0,4872.90322581,0,4499.03225806,0,4244.51612903,0,4734.51612903,0,5183.87096774,0,4431.61290323,0,0,0,?
2018-08-21 16:34:33.664000,4399.35483871,0,4419.03225806,0,4685.48387097,0,4133.22580645,0,4481.61290323,0,4414.83870968,0,4258.70967742,0,4238.38709677,0,4919.03225806,0,4603.22580645,0,4247.41935484,0,4758.70967742,0,5266.12903226,0,4440.96774194,0,0,0,?
2018-08-21 16:34:33.671000,4391.93548387,0,4415.80645161,0,4667.74193548,0,4128.38709677,0,4490.96774194,0,4405.48387097,0,4254.51612903,0,4202.58064516,0,4918.06451613,0,4593.87096774,0,4270.96774194,0,4735.80645161,0,5238.70967742,0,4458.38709677,0,0,0,?
2018-08-21 16:34:33.677000,4403.5483871,0,4411.61290323,0,4645.80645161,0,4083.87096774,0,4462.25806452,0,4409.03225806,0,4258.06451613,0,4229.03225806,0,4950.32258065,0,4521.93548387,0,4267.74193548,0,4683.5483871,0,5222.25806452,0,4426.4516129,0,0,0,?
2018-08-21 16:34:33.687000,4472.90322581,0,4548.38709677,0,4752.58064516,0,4123.22580645,0,4495.48387097,0,4468.70967742,0,4327.09677419,0,4263.5483871,0,5102.90322581,0,4662.58064516,0,4308.06451613,0,4801.61290323,0,5284.51612903,0,4460.0,0,0,0,?
2018-08-21 16:34:33.694000,4434.83870968,0,4457.09677419,0,4678.70967742,0,4036.4516129,0,4471.93548387,0,4435.16129032,0,4291.29032258,0,4200.0,0,5003.22580645,0,4648.70967742,0,4302.58064516,0,4777.41935484,0,5242.25806452,0,4447.74193548,0,0,0,?
2018-08-21 16:34:33.704000,4415.48387097,0,4502.90322581,0,4696.77419355,0,4014.19354839,0,4503.87096774,0,4427.41935484,0,4287.74193548,0,4270.32258065,0,4951.61290323,0,4576.4516129,0,4283.22580645,0,4720.0,0,5225.80645161,0,4467.09677419,0,0,0,?
2018-08-21 16:34:33.708000,4459.03225806,0,4543.22580645,0,4759.03225806,0,4032.25806452,0,4490.32258065,0,4469.67741935,0,4317.09677419,0,4264.19354839,0,4956.12903226,0,4505.16129032,0,4292.25806452,0,4679.35483871,0,5215.16129032,0,4452.58064516,0,0,0,?
2018-08-21 16:34:33.719000,4351.93548387,0,4421.29032258,0,4647.41935484,0,3989.67741935,0,4500.96774194,0,4414.19354839,0,4284.51612903,0,4217.09677419,0,4883.87096774,0,4448.06451613,0,4249.35483871,0,4621.61290323,0,5123.5483871,0,4408.70967742,0,0,0,?
2018-08-21 16:34:33.726000,4399.67741935,0,4476.4516129,0,4714.83870968,0,4109.67741935,0,4480.0,0,4444.51612903,0,4310.0,0,4269.67741935,0,4925.16129032,0,4512.25806452,0,4257.74193548,0,4658.06451613,0,5112.90322581,0,4444.19354839,0,0,0,?
2018-08-21 16:34:33.735000,4430.64516129,0,4494.19354839,0,4703.5483871,0,4140.0,0,4506.77419355,0,4470.0,0,4323.5483871,0,4227.41935484,0,4955.80645161,0,4456.77419355,0,4291.93548387,0,4691.61290323,0,5129.03225806,0,4433.22580645,0,0,0,?
2018-08-21 16:34:33.739000,4464.83870968,0,4557.41935484,0,4727.41935484,0,4147.09677419,0,4527.09677419,0,4495.16129032,0,4340.96774194,0,4256.4516129,0,5001.93548387,0,4438.70967742,0,4292.90322581,0,4718.70967742,0,5140.64516129,0,4494.83870968,0,0,0,?
2018-08-21 16:34:33.750000,4459.03225806,0,4550.96774194,0,4725.48387097,0,4152.58064516,0,4560.64516129,0,4488.70967742,0,4314.51612903,0,4251.93548387,0,4945.80645161,0,4498.70967742,0,4292.25806452,0,4728.70967742,0,5118.38709677,0,4482.90322581,0,0,0,?
